app_name,review_text,rating,sentiment_label
Amazon,won't let me change my password and take off my number and add my email unless I know my old password. HOW AM I SUPPOSED TO REMEMBER??? This app needs bug fixing.,1,Negative
Amazon,"It doesn't load and glitches. I can't find anything on there. When I search something up, it doesn't ever load even after waiting for hours. On the home screen, nothing pops up. I think my app has a glitch. I've deleted and downloaded it again and again and it never works.",1,Negative
Amazon,"This used to be the best! Now, almost every shipment gets delayed. It's almost like they tell you a delivery date to get you to buy, then it shows up a day, two days, however many days later. First world problems I know, but if I have to wait so long, I'd rather shop elsewhere.",2,Negative
Amazon,"THIS IS UNFAIR! I've literally ordered multiple things and they've all gotten delayed, so clearly its rare that they even deliver your package on time, and when they do come, they sometimes deliver it to the wrong address anyway so clearly delivery isn't the right option for me I guess because these delivery drivers cant do their job right when it comes to my stuff.",1,Negative
Amazon,way too hard to contact an agent for help. horrible app,1,Negative
Amazon,"Living in small town, I have access to little stuff, but with Amazon, I have what I need with a click on top of that. If I do have issues, they always fix it with little issue. I also was approved for a credit card if I need to make a large purchase. If it's with Amazon, I can do payments of 6 months with no interest. perk unlike, say, a Home Depot credit card. I can use my prime card anywhere Visa is accepted.",5,Positive
Amazon,Amazon is very fantastic and highly recommend,5,Positive
Amazon,goes to login after switching phones. finds out password is not right reset password. type in my email address. get code sent to me. next wants to send code to my old phone number. can't send phone to my old phone number cuz I won't get. goes through endless loop so calls support line tells me can't help because I don't make any purchases recently on it so it was impossible for me to get my account back ask to remove my email can't do that either what can they do nothing,1,Negative
Amazon,"Brilliant, I love shopping here .",5,Positive
Amazon,why Morocco isn't in the list of countries... even though we have an Amazon call center here .,1,Negative
Amazon,Wsh ils menvoient mes colis en england ces fous ! Allez vous faire soigner sérieux ! Mettez moi à hawaii ! 😂🙌,1,Negative
Amazon,best shopping and customer service app,5,Positive
Amazon,very professional,5,Positive
Amazon,always excellent!!,5,Positive
Amazon,great job on my account please,5,Positive
Amazon,please I create Amazon account but it is not working please can you help me,1,Negative
Amazon,love it,5,Positive
Amazon,Always a great experience,5,Positive
Amazon,"Si pudiera darle menos de una estrella, lo haría, que una mala experiencia defina el resto de mi opinión me parece absurdo pero así fue, compré un iphone para regalarlo a una persona muy importante en su cumpleaños y se robaron el producto mucho antes de siquiera recibirlo, cuando fui a hacer el reporte los de amazon se limpiaron las manos porque ""no era su problema"" no hubo reembolso ni seguimiento y sé que hay muchas personas a las que les sucedió lo mismo, que pésimo.",1,Negative
Amazon,never works properly,1,Negative
Amazon,i never have used this app and it has my bank card,1,Negative
Amazon,strait forward in each item,4,Positive
Amazon,Can't install it on my new oneplus pad 3,2,Negative
Amazon,fast shipping,5,Positive
Amazon,they are crooked and lie on customers too much. be Blessed. how can you get this Add off your phone??? be. Blessed,1,Negative
Amazon,"Amazon should add a filter under orders to see all items that haven't been delivered, not just not shipped so you can easily see what you haven't received yet and not have to search through delivered items. I needed a second return label for an item that was too large to fit into one box. It took 30 minutes to figure out how to get someone to call me to get them to email me a second shipping label. This is far too complicated and it shouldn't be so hard to find where to get a call back.",4,Positive
